title,price,location,area,description,features,contact,image_url,property_url,price_per_sqm,land_size
Raya Emerald Mansion Deretan Honda Citraland Brew And Else,Rp 300 Juta Total per tahun,"Citraland, Surabaya",,Rp 300 Juta Total per tahun,,,https://picture.rumah123.com/r123-images/720x420-crop/customer/32848/2022-06-29-09-20-00-dbf74306-6624-45c5-a76b-c7f59725cf5f.jpg,https://www.rumah123.com/properti/surabaya/lar2879191/,,LT : 1003 m²
Raya Emerald Mansion Deretan Honda Citraland Brew And Else,Rp 300 Juta Total per tahun,"Citraland, Surabaya",,Rp 300 Juta Total per tahun,,,https://picture.rumah123.com/r123-images/720x420-crop/customer/32848/2022-06-29-09-20-00-dbf74306-6624-45c5-a76b-c7f59725cf5f.jpg,https://www.rumah123.com/properti/surabaya/lar2879191/,,LT : 1003 m²
Raya Emerald Mansion Deretan Honda Citraland Brew And Else,Rp 300 Juta Total per tahun,"Citraland, Surabaya",,Rp 300 Juta Total per tahun,,,https://picture.rumah123.com/r123-images/720x420-crop/customer/32848/2022-06-29-09-20-00-dbf74306-6624-45c5-a76b-c7f59725cf5f.jpg,https://www.rumah123.com/properti/surabaya/lar2879191/,,LT : 1003 m²
Raya Emerald Mansion Deretan Honda Citraland Brew And Else,Rp 300 Juta Total per tahun,"Citraland, Surabaya",,Rp 300 Juta Total per tahun,,,https://pic.rumah123.com/r123/60x60-fit/photo/32848/180/328481747512496.jpg,https://www.rumah123.com/properti/surabaya/lar2879191/,,LT : 1003 m²
Raya Emerald Mansion Deretan Honda Citraland Brew And Else,Rp 300 Juta Total per tahun,"Citraland, Surabaya",,Rp 300 Juta Total per tahun,,,,https://www.rumah123.com/properti/surabaya/lar2879191/,,LT : 1003 m²
Kavling komersial Citraland Deretan Weby Surabaya Barat,Rp 115 Juta Total per tahun,Kavling komersial Citraland Deretan Weby Surabaya Barat,,Rp 115 Juta Total per tahun,,+62878732...,https://picture.rumah123.com/r123-images/720x420-crop/customer/1442777/032fbcb8336948953ad50c19f66c3631.jpg,https://www.rumah123.com/properti/surabaya/lar8818657/,,Disewakan Kavling komersial Citraland deretan weby Spesifikasi Teknis : • LT : 375m²(15x25) • Sertifikat...
Kavling komersial Citraland Deretan Weby Surabaya Barat,Rp 115 Juta Total per tahun,Kavling komersial Citraland Deretan Weby Surabaya Barat,,Rp 115 Juta Total per tahun,,+62878732...,https://picture.rumah123.com/r123-images/720x420-crop/customer/1442777/032fbcb8336948953ad50c19f66c3631.jpg,https://www.rumah123.com/properti/surabaya/lar8818657/,,Disewakan Kavling komersial Citraland deretan weby Spesifikasi Teknis : • LT : 375m²(15x25) • Sertifikat...
Kavling komersial Citraland Deretan Weby Surabaya Barat,Rp 115 Juta Total per tahun,Kavling komersial Citraland Deretan Weby Surabaya Barat,,Rp 115 Juta Total per tahun,,+62878732...,https://picture.rumah123.com/r123-images/720x420-crop/customer/1442777/032fbcb8336948953ad50c19f66c3631.jpg,https://www.rumah123.com/properti/surabaya/lar8818657/,,Disewakan Kavling komersial Citraland deretan weby Spesifikasi Teknis : • LT : 375m²(15x25) • Sertifikat...
Kavling komersial Citraland Deretan Weby Surabaya Barat,Rp 115 Juta Total per tahun,Kavling komersial Citraland Deretan Weby Surabaya Barat,,Rp 115 Juta Total per tahun,,+62878732...,https://pic.rumah123.com/r123/60x60-fit/photo/1442777/180/14427771650534251.jpg,https://www.rumah123.com/properti/surabaya/lar8818657/,,Disewakan Kavling komersial Citraland deretan weby Spesifikasi Teknis : • LT : 375m²(15x25) • Sertifikat...
Kavling komersial Citraland Deretan Weby Surabaya Barat,Rp 115 Juta Total per tahun,Kavling komersial Citraland Deretan Weby Surabaya Barat,,Rp 115 Juta Total per tahun,,,,https://www.rumah123.com/properti/surabaya/lar8818657/,,Disewakan Kavling komersial Citraland deretan weby Spesifikasi Teknis : • LT : 375m²(15x25) • Sertifikat...
Disewakan Lahan Komersial Raya Lakarsantri Driyorejo Surabaya,Rp 275 Juta Total per tahun,Disewakan Lahan Komersial Raya Lakarsantri Driyorejo Surabaya,,Rp 275 Juta Total per tahun,,+62813335...,https://picture.rumah123.com/r123-images/720x420-crop/customer/1871907/91e72fc5d9f234e5c5e18437ed2b5c67.jpg,https://www.rumah123.com/properti/surabaya/lar8794101/,,LT : 7000 m²
Disewakan Lahan Komersial Raya Lakarsantri Driyorejo Surabaya,Rp 275 Juta Total per tahun,Disewakan Lahan Komersial Raya Lakarsantri Driyorejo Surabaya,,Rp 275 Juta Total per tahun,,+62813335...,https://picture.rumah123.com/r123-images/720x420-crop/customer/1871907/91e72fc5d9f234e5c5e18437ed2b5c67.jpg,https://www.rumah123.com/properti/surabaya/lar8794101/,,LT : 7000 m²
Disewakan Lahan Komersial Raya Lakarsantri Driyorejo Surabaya,Rp 275 Juta Total per tahun,Disewakan Lahan Komersial Raya Lakarsantri Driyorejo Surabaya,,Rp 275 Juta Total per tahun,,+62813335...,https://picture.rumah123.com/r123-images/720x420-crop/customer/1871907/91e72fc5d9f234e5c5e18437ed2b5c67.jpg,https://www.rumah123.com/properti/surabaya/lar8794101/,,LT : 7000 m²
Disewakan Lahan Komersial Raya Lakarsantri Driyorejo Surabaya,Rp 275 Juta Total per tahun,Disewakan Lahan Komersial Raya Lakarsantri Driyorejo Surabaya,,Rp 275 Juta Total per tahun,,+62813335...,https://picture.rumah123.com/r123-images/60x60-fit/customer/1871907/95c0335346253cee746fb883ab1278cf.jpg,https://www.rumah123.com/properti/surabaya/lar8794101/,,LT : 7000 m²
Disewakan Lahan Komersial Raya Lakarsantri Driyorejo Surabaya,Rp 275 Juta Total per tahun,Disewakan Lahan Komersial Raya Lakarsantri Driyorejo Surabaya,,Rp 275 Juta Total per tahun,,,,https://www.rumah123.com/properti/surabaya/lar8794101/,,LT : 7000 m²
Disewakan Kavling komersial Citraland deretan weby,Rp 125 Juta Total per tahun,"Citraland, Surabaya",,Rp 125 Juta Total per tahun,,+62812523...,https://picture.rumah123.com/r123-images/720x420-crop/customer/1750832/631a4acff45d955939611dc19a0866cc.jpg,https://www.rumah123.com/properti/surabaya/lar8819812/,,Disewakan Kavling komersial Citraland deretan weby Spesifikasi Teknis: LT 375m²(15x25) Sertifikat...
Disewakan Kavling komersial Citraland deretan weby,Rp 125 Juta Total per tahun,"Citraland, Surabaya",,Rp 125 Juta Total per tahun,,+62812523...,https://picture.rumah123.com/r123-images/720x420-crop/customer/1750832/631a4acff45d955939611dc19a0866cc.jpg,https://www.rumah123.com/properti/surabaya/lar8819812/,,Disewakan Kavling komersial Citraland deretan weby Spesifikasi Teknis: LT 375m²(15x25) Sertifikat...
Disewakan Kavling komersial Citraland deretan weby,Rp 125 Juta Total per tahun,"Citraland, Surabaya",,Rp 125 Juta Total per tahun,,+62812523...,https://picture.rumah123.com/r123-images/720x420-crop/customer/1750832/631a4acff45d955939611dc19a0866cc.jpg,https://www.rumah123.com/properti/surabaya/lar8819812/,,Disewakan Kavling komersial Citraland deretan weby Spesifikasi Teknis: LT 375m²(15x25) Sertifikat...
Disewakan Kavling komersial Citraland deretan weby,Rp 125 Juta Total per tahun,"Citraland, Surabaya",,Rp 125 Juta Total per tahun,,+62812523...,,https://www.rumah123.com/properti/surabaya/lar8819812/,,Disewakan Kavling komersial Citraland deretan weby Spesifikasi Teknis: LT 375m²(15x25) Sertifikat...
Disewakan Kavling komersial Citraland deretan weby,Rp 125 Juta Total per tahun,"Citraland, Surabaya",,Rp 125 Juta Total per tahun,,,,https://www.rumah123.com/properti/surabaya/lar8819812/,,Disewakan Kavling komersial Citraland deretan weby Spesifikasi Teknis: LT 375m²(15x25) Sertifikat...
Tanah Komersial Raya Telaga Utama Citraland Dekat Pasar,Rp 225 Juta Total per tahun,"Citraland, Surabaya",,Rp 225 Juta Total per tahun,,+62812488...,https://picture.rumah123.com/r123-images/720x420-crop/customer/1822819/88b684d9ac813623b6619b32d1981424.jpg,https://www.rumah123.com/properti/surabaya/lar8801858/,,LT : 800 m²
Tanah Komersial Raya Telaga Utama Citraland Dekat Pasar,Rp 225 Juta Total per tahun,"Citraland, Surabaya",,Rp 225 Juta Total per tahun,,+62812488...,https://picture.rumah123.com/r123-images/720x420-crop/customer/1822819/88b684d9ac813623b6619b32d1981424.jpg,https://www.rumah123.com/properti/surabaya/lar8801858/,,LT : 800 m²
Tanah Komersial Raya Telaga Utama Citraland Dekat Pasar,Rp 225 Juta Total per tahun,"Citraland, Surabaya",,Rp 225 Juta Total per tahun,,+62812488...,https://picture.rumah123.com/r123-images/720x420-crop/customer/1822819/88b684d9ac813623b6619b32d1981424.jpg,https://www.rumah123.com/properti/surabaya/lar8801858/,,LT : 800 m²
Tanah Komersial Raya Telaga Utama Citraland Dekat Pasar,Rp 225 Juta Total per tahun,"Citraland, Surabaya",,Rp 225 Juta Total per tahun,,+62812488...,https://pic.rumah123.com/r123/60x60-fit/photo/1822819/180/18228191742455854.jpg,https://www.rumah123.com/properti/surabaya/lar8801858/,,LT : 800 m²
Tanah Komersial Raya Telaga Utama Citraland Dekat Pasar,Rp 225 Juta Total per tahun,"Citraland, Surabaya",,Rp 225 Juta Total per tahun,,,,https://www.rumah123.com/properti/surabaya/lar8801858/,,LT : 800 m²
Raya Pandegiling Cck Untuk Usaha,Rp 550 Juta Total per tahun,"Tegalsari, Surabaya",,Rp 550 Juta Total per tahun,,+62812304...,https://picture.rumah123.com/r123-images/720x420-crop/customer/32848/3f58d8818a1e17262a3d06bbc3248ce5.jpg,https://www.rumah123.com/properti/surabaya/lar8790655/,,LT : 836 m²
Raya Pandegiling Cck Untuk Usaha,Rp 550 Juta Total per tahun,"Tegalsari, Surabaya",,Rp 550 Juta Total per tahun,,+62812304...,https://picture.rumah123.com/r123-images/720x420-crop/customer/32848/3f58d8818a1e17262a3d06bbc3248ce5.jpg,https://www.rumah123.com/properti/surabaya/lar8790655/,,LT : 836 m²
Raya Pandegiling Cck Untuk Usaha,Rp 550 Juta Total per tahun,"Tegalsari, Surabaya",,Rp 550 Juta Total per tahun,,+62812304...,https://picture.rumah123.com/r123-images/720x420-crop/customer/32848/3f58d8818a1e17262a3d06bbc3248ce5.jpg,https://www.rumah123.com/properti/surabaya/lar8790655/,,LT : 836 m²
Raya Pandegiling Cck Untuk Usaha,Rp 550 Juta Total per tahun,"Tegalsari, Surabaya",,Rp 550 Juta Total per tahun,,+62812304...,https://pic.rumah123.com/r123/60x60-fit/photo/32848/180/328481747512496.jpg,https://www.rumah123.com/properti/surabaya/lar8790655/,,LT : 836 m²
Raya Pandegiling Cck Untuk Usaha,Rp 550 Juta Total per tahun,"Tegalsari, Surabaya",,Rp 550 Juta Total per tahun,,,,https://www.rumah123.com/properti/surabaya/lar8790655/,,LT : 836 m²
Raya Tambak Langon Benowo Cck Untuk Depo Kontainer,"Rp 3,6 Miliar per tahun","Benowo, Surabaya",,"Rp 3,6 Miliar per tahun",,+62812304...,https://picture.rumah123.com/r123-images/720x420-crop/customer/32848/b590064553f55457a2aaecc52c7f3ec1.jpg,https://www.rumah123.com/properti/surabaya/lar8748366/,,LT : 40000 m²
Raya Tambak Langon Benowo Cck Untuk Depo Kontainer,"Rp 3,6 Miliar per tahun","Benowo, Surabaya",,"Rp 3,6 Miliar per tahun",,+62812304...,https://picture.rumah123.com/r123-images/720x420-crop/customer/32848/b590064553f55457a2aaecc52c7f3ec1.jpg,https://www.rumah123.com/properti/surabaya/lar8748366/,,LT : 40000 m²
Raya Tambak Langon Benowo Cck Untuk Depo Kontainer,"Rp 3,6 Miliar per tahun","Benowo, Surabaya",,"Rp 3,6 Miliar per tahun",,+62812304...,https://picture.rumah123.com/r123-images/720x420-crop/customer/32848/b590064553f55457a2aaecc52c7f3ec1.jpg,https://www.rumah123.com/properti/surabaya/lar8748366/,,LT : 40000 m²
Raya Tambak Langon Benowo Cck Untuk Depo Kontainer,"Rp 3,6 Miliar per tahun","Benowo, Surabaya",,"Rp 3,6 Miliar per tahun",,+62812304...,https://pic.rumah123.com/r123/60x60-fit/photo/32848/180/328481747512496.jpg,https://www.rumah123.com/properti/surabaya/lar8748366/,,LT : 40000 m²
Raya Tambak Langon Benowo Cck Untuk Depo Kontainer,"Rp 3,6 Miliar per tahun","Benowo, Surabaya",,"Rp 3,6 Miliar per tahun",,,,https://www.rumah123.com/properti/surabaya/lar8748366/,,LT : 40000 m²
Disewakan Lahan Komersil Di Jl Diponegoro Surabaya,"Rp 1,35 Miliar Total per tahun",Disewakan Lahan Komersil Di Jl Diponegoro Surabaya,,"Rp 1,35 Miliar Total per tahun",,+62899917...,https://picture.rumah123.com/r123-images/720x420-crop/customer/1319186/d37268dcf1dd29e61b47fd28e7edf47f.jpg,https://www.rumah123.com/properti/surabaya/lar4284663/,,LT : 2142 m²
Disewakan Lahan Komersil Di Jl Diponegoro Surabaya,"Rp 1,35 Miliar Total per tahun",Disewakan Lahan Komersil Di Jl Diponegoro Surabaya,,"Rp 1,35 Miliar Total per tahun",,+62899917...,https://picture.rumah123.com/r123-images/720x420-crop/customer/1319186/d37268dcf1dd29e61b47fd28e7edf47f.jpg,https://www.rumah123.com/properti/surabaya/lar4284663/,,LT : 2142 m²
Disewakan Lahan Komersil Di Jl Diponegoro Surabaya,"Rp 1,35 Miliar Total per tahun",Disewakan Lahan Komersil Di Jl Diponegoro Surabaya,,"Rp 1,35 Miliar Total per tahun",,+62899917...,https://picture.rumah123.com/r123-images/720x420-crop/customer/1319186/d37268dcf1dd29e61b47fd28e7edf47f.jpg,https://www.rumah123.com/properti/surabaya/lar4284663/,,LT : 2142 m²
Disewakan Lahan Komersil Di Jl Diponegoro Surabaya,"Rp 1,35 Miliar Total per tahun",Disewakan Lahan Komersil Di Jl Diponegoro Surabaya,,"Rp 1,35 Miliar Total per tahun",,+62899917...,https://pic.rumah123.com/r123/60x60-fit/photo/1319186/180/13191861702938552.jpg,https://www.rumah123.com/properti/surabaya/lar4284663/,,LT : 2142 m²
Disewakan Lahan Komersil Di Jl Diponegoro Surabaya,"Rp 1,35 Miliar Total per tahun",Disewakan Lahan Komersil Di Jl Diponegoro Surabaya,,"Rp 1,35 Miliar Total per tahun",,,,https://www.rumah123.com/properti/surabaya/lar4284663/,,LT : 2142 m²
Disewakan Lahan Tambak Langon Surabaya Cocok Buat Pool Kontainer,Rp 4 Miliar Total per tahun,Disewakan Lahan Tambak Langon Surabaya Cocok Buat Pool Kontainer,,Rp 4 Miliar Total per tahun,,+62899917...,https://picture.rumah123.com/r123-images/720x420-crop/customer/1319186/fe51e4f66422a5c4ee9d1f64fd25d5cb.jpg,https://www.rumah123.com/properti/surabaya/lar4284675/,,LT : 34000 m²
Disewakan Lahan Tambak Langon Surabaya Cocok Buat Pool Kontainer,Rp 4 Miliar Total per tahun,Disewakan Lahan Tambak Langon Surabaya Cocok Buat Pool Kontainer,,Rp 4 Miliar Total per tahun,,+62899917...,https://picture.rumah123.com/r123-images/720x420-crop/customer/1319186/fe51e4f66422a5c4ee9d1f64fd25d5cb.jpg,https://www.rumah123.com/properti/surabaya/lar4284675/,,LT : 34000 m²
Disewakan Lahan Tambak Langon Surabaya Cocok Buat Pool Kontainer,Rp 4 Miliar Total per tahun,Disewakan Lahan Tambak Langon Surabaya Cocok Buat Pool Kontainer,,Rp 4 Miliar Total per tahun,,+62899917...,https://picture.rumah123.com/r123-images/720x420-crop/customer/1319186/fe51e4f66422a5c4ee9d1f64fd25d5cb.jpg,https://www.rumah123.com/properti/surabaya/lar4284675/,,LT : 34000 m²
Disewakan Lahan Tambak Langon Surabaya Cocok Buat Pool Kontainer,Rp 4 Miliar Total per tahun,Disewakan Lahan Tambak Langon Surabaya Cocok Buat Pool Kontainer,,Rp 4 Miliar Total per tahun,,+62899917...,https://pic.rumah123.com/r123/60x60-fit/photo/1319186/180/13191861702938552.jpg,https://www.rumah123.com/properti/surabaya/lar4284675/,,LT : 34000 m²
Disewakan Lahan Tambak Langon Surabaya Cocok Buat Pool Kontainer,Rp 4 Miliar Total per tahun,Disewakan Lahan Tambak Langon Surabaya Cocok Buat Pool Kontainer,,Rp 4 Miliar Total per tahun,,,,https://www.rumah123.com/properti/surabaya/lar4284675/,,LT : 34000 m²
"DISEWAKAN TANAH KOMERSIAL – PAKUWON SQUARE, SURABAYA BARAT",Rp 150 Juta Total per tahun,"Pakuwon Indah, Surabaya",,Rp 150 Juta Total per tahun,,+62822290...,https://picture.rumah123.com/r123-images/720x420-crop/customer/2066290/6f275905f99a2bfe543949126fe1bc8d.jpg,https://www.rumah123.com/properti/surabaya/lar8684752/,,LT : 150 m²
"DISEWAKAN TANAH KOMERSIAL – PAKUWON SQUARE, SURABAYA BARAT",Rp 150 Juta Total per tahun,"Pakuwon Indah, Surabaya",,Rp 150 Juta Total per tahun,,+62822290...,https://picture.rumah123.com/r123-images/720x420-crop/customer/2066290/6f275905f99a2bfe543949126fe1bc8d.jpg,https://www.rumah123.com/properti/surabaya/lar8684752/,,LT : 150 m²
"DISEWAKAN TANAH KOMERSIAL – PAKUWON SQUARE, SURABAYA BARAT",Rp 150 Juta Total per tahun,"Pakuwon Indah, Surabaya",,Rp 150 Juta Total per tahun,,+62822290...,https://picture.rumah123.com/r123-images/720x420-crop/customer/2066290/6f275905f99a2bfe543949126fe1bc8d.jpg,https://www.rumah123.com/properti/surabaya/lar8684752/,,LT : 150 m²
